gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000164088.17,PPM1M,0.5189334693598563,NA,0.6038071370075708,0.008414153700469008,NA,NA,NA,2,2,2,0.2420839895007484,0.12421373864766902
ENSG00000244607.5,CCDC13,-0.5187467148323004,NA,0.6039373805620142,0.041551125564947805,NA,NA,NA,2,2,2,0.40441797378650035,0.252925050181851
ENSG00000226337.3,RP11-274B18.4,-0.5187150239944458,NA,0.6039594831654105,0.00022208429284385585,NA,NA,NA,1,1,1,0.6039594831654105,0.0211552115048934
ENSG00000133460.19,SLC2A11,-0.5186673998832703,NA,0.6039926990273439,0.0631979589634408,NA,NA,NA,1,1,1,0.6039926990273439,0.6091034839057421
ENSG00000179632.9,MAF1,-0.5185373240232912,NA,0.604083425779024,0.011615604362402658,NA,NA,NA,2,2,2,0.096616542251384,0.253205526332896
ENSG00000100060.17,MFNG,-0.5184588432312012,NA,0.604138168391295,6.109354128946368e-05,NA,NA,NA,1,1,1,0.604138168391295,0.0222258585720167
ENSG00000072134.15,EPN2,-0.5183921456336975,NA,0.604184693636989,0.031087259917715583,NA,NA,NA,1,2,2,0.604184693636989,0.370073061874009
ENSG00000139826.5,ABHD13,0.517999231252975,NA,0.6044588056924347,0.0015649292158998666,NA,NA,NA,2,2,2,0.6147966420140253,0.0980023294801071
ENSG00000138495.6,COX17,0.5179926173721667,NA,0.6044634202654924,0.07317254316103688,NA,NA,NA,3,4,4,0.5349743782129671,0.276391833463657
ENSG00000198075.9,SULT1C4,-0.5176938767969254,NA,0.6046718711371217,0.018021230760942215,NA,NA,NA,4,4,4,0.04789749680851809,0.4606941994663621
ENSG00000175416.12,CLTB,0.5174928393840735,NA,0.6048121662605433,0.027384561649223205,NA,NA,NA,4,4,4,0.012803216644782666,0.37897591406794706
ENSG00000182333.14,LIPF,0.5173529106528025,NA,0.6049098249521981,0.00013028211140668733,NA,NA,NA,2,2,2,0.22318603752465427,0.0177076748527237
ENSG00000147854.16,UHRF2,-0.5172551870346069,NA,0.604978032155494,0.00036044278847212433,NA,NA,NA,1,1,1,0.604978032155494,0.0574575960569867
ENSG00000267868.1,RP11-120K24.3,0.5172543283543148,NA,0.6049786314955072,0.02750404194913533,NA,NA,NA,2,3,3,0.6066878199071049,0.256997495632325
ENSG00000137843.11,PAK6,-0.5171721577644348,NA,0.6050359859967911,0.0008478015398742709,NA,NA,NA,1,1,1,0.6050359859967911,0.059400581191942005
ENSG00000123405.13,NFE2,0.517060399055481,NA,0.6051139967116472,0.002247411877262215,NA,NA,NA,1,1,1,0.6051139967116472,0.11597416043851402
ENSG00000160113.5,NR2F6,0.5170509482044582,NA,0.6051205938775973,0.010941797599954737,NA,NA,NA,3,4,4,0.2791784748167798,0.19849472054211703
ENSG00000164168.7,TMEM184C,0.5168681472829342,NA,0.6052482043908143,2.8014539150356453e-05,NA,NA,NA,2,2,2,0.32812079345625933,0.0120537103504323
ENSG00000180353.10,HCLS1,-0.5168593525886536,NA,0.6052543441357284,0.022087193864105126,NA,NA,NA,1,1,1,0.6052543441357284,0.30883533157318394
ENSG00000149451.17,ADAM33,0.5168560656437015,NA,0.6052566388222653,0.049572306124398606,NA,NA,NA,4,4,4,0.4809592248130736,0.42495373474003906
ENSG00000154274.14,C4orf19,-0.5168163776397705,NA,0.6052843461739388,0.021605230710634298,NA,NA,NA,1,1,1,0.6052843461739388,0.214716443132816
ENSG00000157856.10,DRC1,0.5164431456979883,NA,0.6055449380634925,0.001114519576343432,NA,NA,NA,2,2,2,0.5368128160890596,0.0722370497726873
ENSG00000163781.12,TOPBP1,-0.5164000391960145,NA,0.6055750384153203,0.0019334106829909281,NA,NA,NA,1,1,1,0.6055750384153203,0.08088246405614999
ENSG00000120688.8,WBP4,0.5163322687149048,NA,0.6056223624530199,0.025043115461770293,NA,NA,NA,1,1,1,0.6056223624530199,0.4428472452020779
ENSG00000158747.13,NBL1,0.5161565099777125,NA,0.6057451022637419,0.00396123955539775,NA,NA,NA,3,3,3,0.37927194871530967,0.0822090662987604
